,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10108,2015-02-01,Compound 0-10-20,410.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10109,2015-02-01,Compound 0-7-30,410.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10110,2015-02-01,Compound 7-6-17,487.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10111,2015-02-01,Compound 10-10-20,449.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10112,2015-02-01,Compound 14-7-14,433.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10113,2015-02-01,Compound 18-6-12,417.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10114,2015-02-01,Compound 24-2.5-10,438.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10115,2015-02-01,Compound 27-2.5-5,430.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10117,2015-02-01,Compound 8-5-18,426.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10118,2015-02-01,Compound 20-4-10,421.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10119,2015-02-01,Sulphate of Ammonia (21%),333.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10121,2015-02-01,Compound 10-5-25,416.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10122,2015-02-01,Compound 13-6-20,384.8356687898089,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10123,2015-02-01,Compound 15-3-20,384.8356687898089,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10125,2015-02-01,Compound 24-2.2-4.5,402.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10126,2015-02-01,Compound 19-0-15,403.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10127,2015-02-01,Compound 25-4-0,416.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10128,2015-03-01,Calcium Ammonium Nitrate (27.5% N),330.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10129,2015-03-01,Urea (46% N),413.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10131,2015-03-01,Muriate of Potash (50% K),416.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10132,2015-03-01,Compound 0-10-20,407.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10133,2015-03-01,Compound 0-7-30,413.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10134,2015-03-01,Compound 7-6-17,495.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10135,2015-03-01,Compound 10-10-20,448.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10136,2015-03-01,Compound 14-7-14,427.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10137,2015-03-01,Compound 18-6-12,418.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10138,2015-03-01,Compound 24-2.5-10,440.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10139,2015-03-01,Compound 27-2.5-5,432.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10141,2015-03-01,Compound 8-5-18,426.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10142,2015-03-01,Compound 20-4-10,426.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10143,2015-03-01,Sulphate of Ammonia (21%),337.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10145,2015-03-01,Compound 10-5-25,443.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10146,2015-03-01,Compound 13-6-20,420.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10147,2015-03-01,Compound 15-3-20,384.8356687898089,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10149,2015-03-01,Compound 24-2.2-4.5,397.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10150,2015-03-01,Compound 19-0-15,400.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10151,2015-03-01,Compound 25-4-0,414.0,2015-03,3,2015,113.53,272.75,0.311,2.58,261.58
10152,2015-04-01,Calcium Ammonium Nitrate (27.5% N),332.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10153,2015-04-01,Urea (46% N),416.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10155,2015-04-01,Muriate of Potash (50% K),418.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10156,2015-04-01,Compound 0-10-20,407.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
