,statistic,date,fertiliser_type,unit,value,month_year,month,year
53,Fertiliser Price,1980-03-01,Compound 0-7-30,Euro per Tonne,130.0,1980-03,3,1980
54,Fertiliser Price,1980-03-01,Compound 7-6-17,Euro per Tonne,154.0,1980-03,3,1980
55,Fertiliser Price,1980-03-01,Compound 10-10-20,Euro per Tonne,169.0,1980-03,3,1980
56,Fertiliser Price,1980-03-01,Compound 14-7-14,Euro per Tonne,160.0,1980-03,3,1980
57,Fertiliser Price,1980-03-01,Compound 18-6-12,Euro per Tonne,161.0,1980-03,3,1980
58,Fertiliser Price,1980-03-01,Compound 24-2.5-10,Euro per Tonne,166.0,1980-03,3,1980
59,Fertiliser Price,1980-03-01,Compound 27-2.5-5,Euro per Tonne,162.0,1980-03,3,1980
60,Fertiliser Price,1980-03-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-03,3,1980
61,Fertiliser Price,1980-03-01,Compound 8-5-18,Euro per Tonne,,1980-03,3,1980
62,Fertiliser Price,1980-03-01,Compound 20-4-10,Euro per Tonne,,1980-03,3,1980
63,Fertiliser Price,1980-03-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-03,3,1980
64,Fertiliser Price,1980-03-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-03,3,1980
65,Fertiliser Price,1980-03-01,Compound 10-5-25,Euro per Tonne,,1980-03,3,1980
66,Fertiliser Price,1980-03-01,Compound 13-6-20,Euro per Tonne,,1980-03,3,1980
67,Fertiliser Price,1980-03-01,Compound 15-3-20,Euro per Tonne,,1980-03,3,1980
68,Fertiliser Price,1980-03-01,Compound 24-2.2-10,Euro per Tonne,,1980-03,3,1980
69,Fertiliser Price,1980-03-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-03,3,1980
70,Fertiliser Price,1980-03-01,Compound 19-0-15,Euro per Tonne,,1980-03,3,1980
71,Fertiliser Price,1980-03-01,Compound 25-4-0,Euro per Tonne,,1980-03,3,1980
72,Fertiliser Price,1980-04-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,128.0,1980-04,4,1980
73,Fertiliser Price,1980-04-01,Urea (46% N),Euro per Tonne,163.0,1980-04,4,1980
74,Fertiliser Price,1980-04-01,Granular Superphosphate (16% P),Euro per Tonne,168.0,1980-04,4,1980
75,Fertiliser Price,1980-04-01,Muriate of Potash (50% K),Euro per Tonne,114.0,1980-04,4,1980
76,Fertiliser Price,1980-04-01,Compound 0-10-20,Euro per Tonne,132.0,1980-04,4,1980
77,Fertiliser Price,1980-04-01,Compound 0-7-30,Euro per Tonne,130.0,1980-04,4,1980
78,Fertiliser Price,1980-04-01,Compound 7-6-17,Euro per Tonne,159.0,1980-04,4,1980
79,Fertiliser Price,1980-04-01,Compound 10-10-20,Euro per Tonne,170.0,1980-04,4,1980
80,Fertiliser Price,1980-04-01,Compound 14-7-14,Euro per Tonne,162.0,1980-04,4,1980
81,Fertiliser Price,1980-04-01,Compound 18-6-12,Euro per Tonne,163.0,1980-04,4,1980
82,Fertiliser Price,1980-04-01,Compound 24-2.5-10,Euro per Tonne,167.0,1980-04,4,1980
83,Fertiliser Price,1980-04-01,Compound 27-2.5-5,Euro per Tonne,162.0,1980-04,4,1980
84,Fertiliser Price,1980-04-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-04,4,1980
85,Fertiliser Price,1980-04-01,Compound 8-5-18,Euro per Tonne,,1980-04,4,1980
86,Fertiliser Price,1980-04-01,Compound 20-4-10,Euro per Tonne,,1980-04,4,1980
87,Fertiliser Price,1980-04-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-04,4,1980
88,Fertiliser Price,1980-04-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-04,4,1980
89,Fertiliser Price,1980-04-01,Compound 10-5-25,Euro per Tonne,,1980-04,4,1980
90,Fertiliser Price,1980-04-01,Compound 13-6-20,Euro per Tonne,,1980-04,4,1980
91,Fertiliser Price,1980-04-01,Compound 15-3-20,Euro per Tonne,,1980-04,4,1980
92,Fertiliser Price,1980-04-01,Compound 24-2.2-10,Euro per Tonne,,1980-04,4,1980
93,Fertiliser Price,1980-04-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-04,4,1980
94,Fertiliser Price,1980-04-01,Compound 19-0-15,Euro per Tonne,,1980-04,4,1980
95,Fertiliser Price,1980-04-01,Compound 25-4-0,Euro per Tonne,,1980-04,4,1980
96,Fertiliser Price,1980-05-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,129.0,1980-05,5,1980
97,Fertiliser Price,1980-05-01,Urea (46% N),Euro per Tonne,164.0,1980-05,5,1980
98,Fertiliser Price,1980-05-01,Granular Superphosphate (16% P),Euro per Tonne,170.0,1980-05,5,1980
99,Fertiliser Price,1980-05-01,Muriate of Potash (50% K),Euro per Tonne,114.0,1980-05,5,1980
100,Fertiliser Price,1980-05-01,Compound 0-10-20,Euro per Tonne,132.0,1980-05,5,1980
101,Fertiliser Price,1980-05-01,Compound 0-7-30,Euro per Tonne,131.0,1980-05,5,1980
102,Fertiliser Price,1980-05-01,Compound 7-6-17,Euro per Tonne,174.0,1980-05,5,1980
103,Fertiliser Price,1980-05-01,Compound 10-10-20,Euro per Tonne,171.0,1980-05,5,1980
104,Fertiliser Price,1980-05-01,Compound 14-7-14,Euro per Tonne,161.0,1980-05,5,1980
105,Fertiliser Price,1980-05-01,Compound 18-6-12,Euro per Tonne,164.0,1980-05,5,1980
106,Fertiliser Price,1980-05-01,Compound 24-2.5-10,Euro per Tonne,167.0,1980-05,5,1980
107,Fertiliser Price,1980-05-01,Compound 27-2.5-5,Euro per Tonne,163.0,1980-05,5,1980
108,Fertiliser Price,1980-05-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-05,5,1980
109,Fertiliser Price,1980-05-01,Compound 8-5-18,Euro per Tonne,,1980-05,5,1980
110,Fertiliser Price,1980-05-01,Compound 20-4-10,Euro per Tonne,,1980-05,5,1980
111,Fertiliser Price,1980-05-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-05,5,1980
112,Fertiliser Price,1980-05-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-05,5,1980
113,Fertiliser Price,1980-05-01,Compound 10-5-25,Euro per Tonne,,1980-05,5,1980
114,Fertiliser Price,1980-05-01,Compound 13-6-20,Euro per Tonne,,1980-05,5,1980
115,Fertiliser Price,1980-05-01,Compound 15-3-20,Euro per Tonne,,1980-05,5,1980
116,Fertiliser Price,1980-05-01,Compound 24-2.2-10,Euro per Tonne,,1980-05,5,1980
117,Fertiliser Price,1980-05-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-05,5,1980
118,Fertiliser Price,1980-05-01,Compound 19-0-15,Euro per Tonne,,1980-05,5,1980
119,Fertiliser Price,1980-05-01,Compound 25-4-0,Euro per Tonne,,1980-05,5,1980
120,Fertiliser Price,1980-06-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130.0,1980-06,6,1980
121,Fertiliser Price,1980-06-01,Urea (46% N),Euro per Tonne,166.0,1980-06,6,1980
122,Fertiliser Price,1980-06-01,Granular Superphosphate (16% P),Euro per Tonne,171.0,1980-06,6,1980
123,Fertiliser Price,1980-06-01,Muriate of Potash (50% K),Euro per Tonne,114.0,1980-06,6,1980
124,Fertiliser Price,1980-06-01,Compound 0-10-20,Euro per Tonne,132.0,1980-06,6,1980
125,Fertiliser Price,1980-06-01,Compound 0-7-30,Euro per Tonne,131.0,1980-06,6,1980
126,Fertiliser Price,1980-06-01,Compound 7-6-17,Euro per Tonne,176.0,1980-06,6,1980
127,Fertiliser Price,1980-06-01,Compound 10-10-20,Euro per Tonne,171.0,1980-06,6,1980
128,Fertiliser Price,1980-06-01,Compound 14-7-14,Euro per Tonne,163.0,1980-06,6,1980
129,Fertiliser Price,1980-06-01,Compound 18-6-12,Euro per Tonne,164.0,1980-06,6,1980
130,Fertiliser Price,1980-06-01,Compound 24-2.5-10,Euro per Tonne,167.0,1980-06,6,1980
131,Fertiliser Price,1980-06-01,Compound 27-2.5-5,Euro per Tonne,163.0,1980-06,6,1980
132,Fertiliser Price,1980-06-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-06,6,1980
133,Fertiliser Price,1980-06-01,Compound 8-5-18,Euro per Tonne,,1980-06,6,1980
134,Fertiliser Price,1980-06-01,Compound 20-4-10,Euro per Tonne,,1980-06,6,1980
135,Fertiliser Price,1980-06-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-06,6,1980
136,Fertiliser Price,1980-06-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-06,6,1980
137,Fertiliser Price,1980-06-01,Compound 10-5-25,Euro per Tonne,,1980-06,6,1980
138,Fertiliser Price,1980-06-01,Compound 13-6-20,Euro per Tonne,,1980-06,6,1980
139,Fertiliser Price,1980-06-01,Compound 15-3-20,Euro per Tonne,,1980-06,6,1980
140,Fertiliser Price,1980-06-01,Compound 24-2.2-10,Euro per Tonne,,1980-06,6,1980
141,Fertiliser Price,1980-06-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-06,6,1980
142,Fertiliser Price,1980-06-01,Compound 19-0-15,Euro per Tonne,,1980-06,6,1980
143,Fertiliser Price,1980-06-01,Compound 25-4-0,Euro per Tonne,,1980-06,6,1980
144,Fertiliser Price,1980-07-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130.0,1980-07,7,1980
145,Fertiliser Price,1980-07-01,Urea (46% N),Euro per Tonne,166.0,1980-07,7,1980
146,Fertiliser Price,1980-07-01,Granular Superphosphate (16% P),Euro per Tonne,175.0,1980-07,7,1980
147,Fertiliser Price,1980-07-01,Muriate of Potash (50% K),Euro per Tonne,115.0,1980-07,7,1980
148,Fertiliser Price,1980-07-01,Compound 0-10-20,Euro per Tonne,133.0,1980-07,7,1980
149,Fertiliser Price,1980-07-01,Compound 0-7-30,Euro per Tonne,131.0,1980-07,7,1980
150,Fertiliser Price,1980-07-01,Compound 7-6-17,Euro per Tonne,168.0,1980-07,7,1980
151,Fertiliser Price,1980-07-01,Compound 10-10-20,Euro per Tonne,171.0,1980-07,7,1980
152,Fertiliser Price,1980-07-01,Compound 14-7-14,Euro per Tonne,163.0,1980-07,7,1980
153,Fertiliser Price,1980-07-01,Compound 18-6-12,Euro per Tonne,164.0,1980-07,7,1980
154,Fertiliser Price,1980-07-01,Compound 24-2.5-10,Euro per Tonne,167.0,1980-07,7,1980
155,Fertiliser Price,1980-07-01,Compound 27-2.5-5,Euro per Tonne,164.0,1980-07,7,1980
156,Fertiliser Price,1980-07-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-07,7,1980
157,Fertiliser Price,1980-07-01,Compound 8-5-18,Euro per Tonne,,1980-07,7,1980
