period,consumer_price_index
2010-01,-0.216022392138361
2010-02,-0.24990919526181
2010-03,-0.16048253055991
2010-04,-0.13786591109732
2010-05,0.229369313391761
2010-06,0.153387760301323
2010-07,0.168992445769934
2010-08,0.101079265380478
2010-09,0.135193956615948
2010-10,0.280629879642192
2010-11,0.222568525233464
2010-12,0.330742358149727
2011-01,0.317820006247363
2011-02,0.42360062274066
2011-03,0.472290349492461
2011-04,0.422268545310658
2011-05,0.27521626882532
2011-06,0.290003737834834
2011-07,0.299670529095996
2011-08,0.340681765803968
2011-09,0.389472309596876
2011-10,0.533167660336802
2011-11,0.572782503822709
2011-12,0.489430142422602
2012-01,0.458994989074922
2012-02,0.433768109519996
2012-03,0.393855681306272
2012-04,0.387341345323994
2012-05,0.493730379769576
2012-06,0.433058323754718
2012-07,0.444031025518335
2012-08,0.494509950089636
2012-09,0.470880922087945
2012-10,0.463279321060636
2012-11,0.417540293160093
2012-12,0.371999308300395
2013-01,0.327384451789235
2013-02,0.36692140859959
2013-03,0.283271330558129
2013-04,0.241129546843562
2013-05,0.149067233244343
2013-06,0.226141090732448
2013-07,0.25477849579038
2013-08,0.147695361540613
2013-09,0.174373803093097
2013-10,-0.010380910837391
2013-11,0.0223558453500563
2013-12,0.0688635272391506
2014-01,0.0692019710211344
2014-02,0.0257465829657841
2014-03,0.0641107813174808
2014-04,0.0726363450568328
2014-05,0.119799939106993
2014-06,0.115406919850237
2014-07,0.0941602190054086
2014-08,0.106888869589654
2014-09,0.0599338138169639
2014-10,0.081517463400983
2014-11,0.00856055550140384
2014-12,-0.111876197270246
2015-01,-0.234183079204418
2015-02,-0.179076858533925
2015-03,-0.142242793728129
2015-04,-0.187074676768669
2015-05,-0.150964836045258
2015-06,-0.163986678622064
2015-07,-0.216995749820111
2015-08,-0.292049240850174
2015-09,-0.306278566484889
2015-10,-0.355266372093378
2015-11,-0.340726852487806
2015-12,-0.283090353215284
2016-01,-0.256533997157414
2016-02,-0.337873376842032
2016-03,-0.347451923034584
2016-04,-0.281201117447589
2016-05,-0.297414601726121
2016-06,-0.235356262484346
2016-07,-0.208197556335423
2016-08,-0.263964570106771
2016-09,-0.211668637225469
2016-10,-0.156611661907169
2016-11,-0.12884697966697
2016-12,-0.0404625188118812
2017-01,0.0811721370328969
2017-02,0.089240410465625
2017-03,0.0486891151366337
2017-04,0.0444868432876825
2017-05,-0.0353641624194992
2017-06,-0.102625998156503
2017-07,-0.0948322711149381
2017-08,0.0490036341691987
2017-09,0.0287546517882798
2017-10,0.0761991700418399
2017-11,0.183915059255445
2017-12,0.139272196
2018-01,0.137926157607749
2018-02,0.178454386656049
2018-03,0.200426532521624
2018-04,0.206498610147507
2018-05,0.286363360249733
2018-06,0.34181775497508
2018-07,0.367044974601808
2018-08,0.47587311564055
2018-09,0.473411727056208
2018-10,0.370222416527399
2018-11,0.243337007376644
2018-12,0.188522136425121
2019-01,0.141815044419882
2019-02,0.133712873980095
2019-03,0.174042031907151
2019-04,0.222666105280615
2019-05,0.20378137980758
2019-06,0.130987353246083
2019-07,0.105443697807989
2019-08,-0.027011629382339
2019-09,-0.0304577747849538
2019-10,0.0237301596315819
2019-11,0.0268062500481628
2019-12,0.0772909829806812
2020-01,0.121746967973069
2020-02,0.0275068446434753
2020-03,-0.0979777592750278
2020-04,-0.342537098472544
2020-05,-0.477482623451083
2020-06,-0.38038948253068
2020-07,-0.342325176796226
2020-08,-0.333312034789621
2020-09,-0.362430320474604
2020-10,-0.275949320078143
2020-11,-0.247092059122682
2020-12,-0.197374961732852
2021-01,-0.172950080610533
2021-02,-0.0467078999701006
2021-03,0.0895653711636199
2021-04,0.339840834420026
2021-05,0.533615722955449
2021-06,0.487720509367228
2021-07,0.540550803009196
2021-08,0.766003851885275
2021-09,0.854290875526034
2021-10,1.02784665614908
2021-11,1.19197879574169
2021-12,1.14300005475285
2022-01,1.14970395825783
2022-02,1.20731321256669
2022-03,1.9235528863045
