"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201312","2013M12","1","Milk (per litre), actual fat and protein","Euro","0.457"
"AJM07","Manufacturing Milk Prices (including VAT)","201312","2013M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.42"
"AJM07","Manufacturing Milk Prices (including VAT)","201401","2014M01","1","Milk (per litre), actual fat and protein","Euro","0.436"
"AJM07","Manufacturing Milk Prices (including VAT)","201401","2014M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.424"
"AJM07","Manufacturing Milk Prices (including VAT)","201402","2014M02","1","Milk (per litre), actual fat and protein","Euro","0.43"
"AJM07","Manufacturing Milk Prices (including VAT)","201402","2014M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.42"
"AJM07","Manufacturing Milk Prices (including VAT)","201403","2014M03","1","Milk (per litre), actual fat and protein","Euro","0.403"
"AJM07","Manufacturing Milk Prices (including VAT)","201403","2014M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.405"
"AJM07","Manufacturing Milk Prices (including VAT)","201404","2014M04","1","Milk (per litre), actual fat and protein","Euro","0.399"
"AJM07","Manufacturing Milk Prices (including VAT)","201404","2014M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.392"
"AJM07","Manufacturing Milk Prices (including VAT)","201405","2014M05","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","201405","2014M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.378"
"AJM07","Manufacturing Milk Prices (including VAT)","201406","2014M06","1","Milk (per litre), actual fat and protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","201406","2014M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.376"
"AJM07","Manufacturing Milk Prices (including VAT)","201407","2014M07","1","Milk (per litre), actual fat and protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","201407","2014M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.355"
"AJM07","Manufacturing Milk Prices (including VAT)","201408","2014M08","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","201408","2014M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.355"
"AJM07","Manufacturing Milk Prices (including VAT)","201409","2014M09","1","Milk (per litre), actual fat and protein","Euro","0.366"
"AJM07","Manufacturing Milk Prices (including VAT)","201409","2014M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201410","2014M10","1","Milk (per litre), actual fat and protein","Euro","0.394"
"AJM07","Manufacturing Milk Prices (including VAT)","201410","2014M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.334"
"AJM07","Manufacturing Milk Prices (including VAT)","201411","2014M11","1","Milk (per litre), actual fat and protein","Euro","0.388"
"AJM07","Manufacturing Milk Prices (including VAT)","201411","2014M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.335"
"AJM07","Manufacturing Milk Prices (including VAT)","201412","2014M12","1","Milk (per litre), actual fat and protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201412","2014M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.339"
"AJM07","Manufacturing Milk Prices (including VAT)","201501","2015M01","1","Milk (per litre), actual fat and protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201501","2015M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.336"
"AJM07","Manufacturing Milk Prices (including VAT)","201502","2015M02","1","Milk (per litre), actual fat and protein","Euro","0.346"
"AJM07","Manufacturing Milk Prices (including VAT)","201502","2015M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.341"
"AJM07","Manufacturing Milk Prices (including VAT)","201503","2015M03","1","Milk (per litre), actual fat and protein","Euro","0.311"
"AJM07","Manufacturing Milk Prices (including VAT)","201503","2015M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.31"
"AJM07","Manufacturing Milk Prices (including VAT)","201504","2015M04","1","Milk (per litre), actual fat and protein","Euro","0.313"
"AJM07","Manufacturing Milk Prices (including VAT)","201504","2015M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.307"
"AJM07","Manufacturing Milk Prices (including VAT)","201505","2015M05","1","Milk (per litre), actual fat and protein","Euro","0.299"
"AJM07","Manufacturing Milk Prices (including VAT)","201505","2015M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","201506","2015M06","1","Milk (per litre), actual fat and protein","Euro","0.291"
"AJM07","Manufacturing Milk Prices (including VAT)","201506","2015M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.28"
"AJM07","Manufacturing Milk Prices (including VAT)","201507","2015M07","1","Milk (per litre), actual fat and protein","Euro","0.281"
"AJM07","Manufacturing Milk Prices (including VAT)","201507","2015M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.268"
"AJM07","Manufacturing Milk Prices (including VAT)","201508","2015M08","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","201508","2015M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.267"
"AJM07","Manufacturing Milk Prices (including VAT)","201509","2015M09","1","Milk (per litre), actual fat and protein","Euro","0.302"
"AJM07","Manufacturing Milk Prices (including VAT)","201509","2015M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.266"
"AJM07","Manufacturing Milk Prices (including VAT)","201510","2015M10","1","Milk (per litre), actual fat and protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","201510","2015M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201511","2015M11","1","Milk (per litre), actual fat and protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","201511","2015M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.275"
"AJM07","Manufacturing Milk Prices (including VAT)","201512","2015M12","1","Milk (per litre), actual fat and protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","201512","2015M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.281"
"AJM07","Manufacturing Milk Prices (including VAT)","201601","2016M01","1","Milk (per litre), actual fat and protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201601","2016M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.289"
"AJM07","Manufacturing Milk Prices (including VAT)","201602","2016M02","1","Milk (per litre), actual fat and protein","Euro","0.297"
"AJM07","Manufacturing Milk Prices (including VAT)","201602","2016M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.285"
"AJM07","Manufacturing Milk Prices (including VAT)","201603","2016M03","1","Milk (per litre), actual fat and protein","Euro","0.252"
"AJM07","Manufacturing Milk Prices (including VAT)","201603","2016M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.248"
"AJM07","Manufacturing Milk Prices (including VAT)","201604","2016M04","1","Milk (per litre), actual fat and protein","Euro","0.249"
"AJM07","Manufacturing Milk Prices (including VAT)","201604","2016M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.244"
"AJM07","Manufacturing Milk Prices (including VAT)","201605","2016M05","1","Milk (per litre), actual fat and protein","Euro","0.247"
"AJM07","Manufacturing Milk Prices (including VAT)","201605","2016M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.241"
"AJM07","Manufacturing Milk Prices (including VAT)","201606","2016M06","1","Milk (per litre), actual fat and protein","Euro","0.243"
"AJM07","Manufacturing Milk Prices (including VAT)","201606","2016M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.237"
"AJM07","Manufacturing Milk Prices (including VAT)","201607","2016M07","1","Milk (per litre), actual fat and protein","Euro","0.253"
"AJM07","Manufacturing Milk Prices (including VAT)","201607","2016M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.243"
"AJM07","Manufacturing Milk Prices (including VAT)","201608","2016M08","1","Milk (per litre), actual fat and protein","Euro","0.279"
"AJM07","Manufacturing Milk Prices (including VAT)","201608","2016M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.261"
"AJM07","Manufacturing Milk Prices (including VAT)","201609","2016M09","1","Milk (per litre), actual fat and protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","201609","2016M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201610","2016M10","1","Milk (per litre), actual fat and protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201610","2016M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201611","2016M11","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","201611","2016M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201612","2016M12","1","Milk (per litre), actual fat and protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201612","2016M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201701","2017M01","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201701","2017M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201702","2017M02","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201702","2017M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.336"
"AJM07","Manufacturing Milk Prices (including VAT)","201703","2017M03","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201703","2017M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201704","2017M04","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201704","2017M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","201705","2017M05","1","Milk (per litre), actual fat and protein","Euro","0.341"
"AJM07","Manufacturing Milk Prices (including VAT)","201705","2017M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201706","2017M06","1","Milk (per litre), actual fat and protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201706","2017M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.339"
"AJM07","Manufacturing Milk Prices (including VAT)","201707","2017M07","1","Milk (per litre), actual fat and protein","Euro","0.366"
"AJM07","Manufacturing Milk Prices (including VAT)","201707","2017M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201708","2017M08","1","Milk (per litre), actual fat and protein","Euro","0.394"
"AJM07","Manufacturing Milk Prices (including VAT)","201708","2017M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","201709","2017M09","1","Milk (per litre), actual fat and protein","Euro","0.426"
"AJM07","Manufacturing Milk Prices (including VAT)","201709","2017M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.37"
"AJM07","Manufacturing Milk Prices (including VAT)","201710","2017M10","1","Milk (per litre), actual fat and protein","Euro","0.438"
"AJM07","Manufacturing Milk Prices (including VAT)","201710","2017M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201711","2017M11","1","Milk (per litre), actual fat and protein","Euro","0.441"
"AJM07","Manufacturing Milk Prices (including VAT)","201711","2017M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.373"
"AJM07","Manufacturing Milk Prices (including VAT)","201712","2017M12","1","Milk (per litre), actual fat and protein","Euro","0.426"
"AJM07","Manufacturing Milk Prices (including VAT)","201712","2017M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","201801","2018M01","1","Milk (per litre), actual fat and protein","Euro","0.399"
"AJM07","Manufacturing Milk Prices (including VAT)","201801","2018M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.373"
"AJM07","Manufacturing Milk Prices (including VAT)","201802","2018M02","1","Milk (per litre), actual fat and protein","Euro","0.382"
"AJM07","Manufacturing Milk Prices (including VAT)","201802","2018M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201803","2018M03","1","Milk (per litre), actual fat and protein","Euro","0.343"
"AJM07","Manufacturing Milk Prices (including VAT)","201803","2018M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.332"
"AJM07","Manufacturing Milk Prices (including VAT)","201804","2018M04","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201804","2018M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201805","2018M05","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201805","2018M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201806","2018M06","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","201806","2018M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201807","2018M07","1","Milk (per litre), actual fat and protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201807","2018M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","201808","2018M08","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201808","2018M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","201809","2018M09","1","Milk (per litre), actual fat and protein","Euro","0.382"
"AJM07","Manufacturing Milk Prices (including VAT)","201809","2018M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201810","2018M10","1","Milk (per litre), actual fat and protein","Euro","0.401"
"AJM07","Manufacturing Milk Prices (including VAT)","201810","2018M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201811","2018M11","1","Milk (per litre), actual fat and protein","Euro","0.404"
"AJM07","Manufacturing Milk Prices (including VAT)","201811","2018M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201812","2018M12","1","Milk (per litre), actual fat and protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","201812","2018M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.338"
"AJM07","Manufacturing Milk Prices (including VAT)","201901","2019M01","1","Milk (per litre), actual fat and protein","Euro","0.349"
"AJM07","Manufacturing Milk Prices (including VAT)","201901","2019M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201902","2019M02","1","Milk (per litre), actual fat and protein","Euro","0.352"
"AJM07","Manufacturing Milk Prices (including VAT)","201902","2019M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201903","2019M03","1","Milk (per litre), actual fat and protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201903","2019M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201904","2019M04","1","Milk (per litre), actual fat and protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","201904","2019M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.314"
"AJM07","Manufacturing Milk Prices (including VAT)","201905","2019M05","1","Milk (per litre), actual fat and protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201905","2019M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201906","2019M06","1","Milk (per litre), actual fat and protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201906","2019M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201907","2019M07","1","Milk (per litre), actual fat and protein","Euro","0.321"
"AJM07","Manufacturing Milk Prices (including VAT)","201907","2019M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201908","2019M08","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201908","2019M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201909","2019M09","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201909","2019M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","201910","2019M10","1","Milk (per litre), actual fat and protein","Euro","0.378"
"AJM07","Manufacturing Milk Prices (including VAT)","201910","2019M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201911","2019M11","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","201911","2019M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.31"
"AJM07","Manufacturing Milk Prices (including VAT)","201912","2019M12","1","Milk (per litre), actual fat and protein","Euro","0.376"
"AJM07","Manufacturing Milk Prices (including VAT)","201912","2019M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.323"
"AJM07","Manufacturing Milk Prices (including VAT)","202001","2020M01","1","Milk (per litre), actual fat and protein","Euro","0.357"
"AJM07","Manufacturing Milk Prices (including VAT)","202001","2020M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","202002","2020M02","1","Milk (per litre), actual fat and protein","Euro","0.359"
"AJM07","Manufacturing Milk Prices (including VAT)","202002","2020M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","202003","2020M03","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","202003","2020M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","202004","2020M04","1","Milk (per litre), actual fat and protein","Euro","0.313"
"AJM07","Manufacturing Milk Prices (including VAT)","202004","2020M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","202005","2020M05","1","Milk (per litre), actual fat and protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","202005","2020M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","202006","2020M06","1","Milk (per litre), actual fat and protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202006","2020M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.31"
"AJM07","Manufacturing Milk Prices (including VAT)","202007","2020M07","1","Milk (per litre), actual fat and protein","Euro","0.338"
"AJM07","Manufacturing Milk Prices (including VAT)","202007","2020M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","202008","2020M08","1","Milk (per litre), actual fat and protein","Euro","0.349"
"AJM07","Manufacturing Milk Prices (including VAT)","202008","2020M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","202009","2020M09","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","202009","2020M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","202010","2020M10","1","Milk (per litre), actual fat and protein","Euro","0.403"
"AJM07","Manufacturing Milk Prices (including VAT)","202010","2020M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","202011","2020M11","1","Milk (per litre), actual fat and protein","Euro","0.402"
"AJM07","Manufacturing Milk Prices (including VAT)","202011","2020M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202012","2020M12","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202012","2020M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202101","2021M01","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","202101","2021M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","202102","2021M02","1","Milk (per litre), actual fat and protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","202102","2021M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.348"
"AJM07","Manufacturing Milk Prices (including VAT)","202103","2021M03","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","202103","2021M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","202104","2021M04","1","Milk (per litre), actual fat and protein","Euro","0.377"
"AJM07","Manufacturing Milk Prices (including VAT)","202104","2021M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","202105","2021M05","1","Milk (per litre), actual fat and protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202105","2021M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.365"
"AJM07","Manufacturing Milk Prices (including VAT)","202106","2021M06","1","Milk (per litre), actual fat and protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","202106","2021M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","202107","2021M07","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","202107","2021M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.363"
"AJM07","Manufacturing Milk Prices (including VAT)","202108","2021M08","1","Milk (per litre), actual fat and protein","Euro","0.404"
"AJM07","Manufacturing Milk Prices (including VAT)","202108","2021M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.366"
"AJM07","Manufacturing Milk Prices (including VAT)","202109","2021M09","1","Milk (per litre), actual fat and protein","Euro","0.437"
"AJM07","Manufacturing Milk Prices (including VAT)","202109","2021M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","202110","2021M10","1","Milk (per litre), actual fat and protein","Euro","0.479"
"AJM07","Manufacturing Milk Prices (including VAT)","202110","2021M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","202111","2021M11","1","Milk (per litre), actual fat and protein","Euro","0.501"
"AJM07","Manufacturing Milk Prices (including VAT)","202111","2021M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.386"
"AJM07","Manufacturing Milk Prices (including VAT)","202112","2021M12","1","Milk (per litre), actual fat and protein","Euro","0.499"
"AJM07","Manufacturing Milk Prices (including VAT)","202112","2021M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.417"
"AJM07","Manufacturing Milk Prices (including VAT)","202201","2022M01","1","Milk (per litre), actual fat and protein","Euro","0.474"
"AJM07","Manufacturing Milk Prices (including VAT)","202201","2022M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.427"
"AJM07","Manufacturing Milk Prices (including VAT)","202202","2022M02","1","Milk (per litre), actual fat and protein","Euro","0.49"
"AJM07","Manufacturing Milk Prices (including VAT)","202202","2022M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.448"
