"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200610","2006M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.27"
"AJM07","Manufacturing Milk Prices (including VAT)","200611","2006M11","1","Milk (per litre), actual fat and protein","Euro","0.296"
"AJM07","Manufacturing Milk Prices (including VAT)","200611","2006M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200612","2006M12","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200612","2006M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200701","2007M01","1","Milk (per litre), actual fat and protein","Euro","0.282"
"AJM07","Manufacturing Milk Prices (including VAT)","200701","2007M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.276"
"AJM07","Manufacturing Milk Prices (including VAT)","200702","2007M02","1","Milk (per litre), actual fat and protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","200702","2007M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.263"
"AJM07","Manufacturing Milk Prices (including VAT)","200703","2007M03","1","Milk (per litre), actual fat and protein","Euro","0.251"
"AJM07","Manufacturing Milk Prices (including VAT)","200703","2007M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.247"
"AJM07","Manufacturing Milk Prices (including VAT)","200704","2007M04","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","200704","2007M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.276"
"AJM07","Manufacturing Milk Prices (including VAT)","200705","2007M05","1","Milk (per litre), actual fat and protein","Euro","0.292"
"AJM07","Manufacturing Milk Prices (including VAT)","200705","2007M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.295"
"AJM07","Manufacturing Milk Prices (including VAT)","200706","2007M06","1","Milk (per litre), actual fat and protein","Euro","0.318"
"AJM07","Manufacturing Milk Prices (including VAT)","200706","2007M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","200707","2007M07","1","Milk (per litre), actual fat and protein","Euro","0.34"
"AJM07","Manufacturing Milk Prices (including VAT)","200707","2007M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.34"
"AJM07","Manufacturing Milk Prices (including VAT)","200708","2007M08","1","Milk (per litre), actual fat and protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","200708","2007M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.37"
"AJM07","Manufacturing Milk Prices (including VAT)","200709","2007M09","1","Milk (per litre), actual fat and protein","Euro","0.412"
"AJM07","Manufacturing Milk Prices (including VAT)","200709","2007M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.401"
"AJM07","Manufacturing Milk Prices (including VAT)","200710","2007M10","1","Milk (per litre), actual fat and protein","Euro","0.438"
"AJM07","Manufacturing Milk Prices (including VAT)","200710","2007M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.413"
"AJM07","Manufacturing Milk Prices (including VAT)","200711","2007M11","1","Milk (per litre), actual fat and protein","Euro","0.451"
"AJM07","Manufacturing Milk Prices (including VAT)","200711","2007M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.424"
"AJM07","Manufacturing Milk Prices (including VAT)","200712","2007M12","1","Milk (per litre), actual fat and protein","Euro","0.431"
"AJM07","Manufacturing Milk Prices (including VAT)","200712","2007M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.417"
"AJM07","Manufacturing Milk Prices (including VAT)","200801","2008M01","1","Milk (per litre), actual fat and protein","Euro","0.415"
"AJM07","Manufacturing Milk Prices (including VAT)","200801","2008M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.403"
"AJM07","Manufacturing Milk Prices (including VAT)","200802","2008M02","1","Milk (per litre), actual fat and protein","Euro","0.405"
"AJM07","Manufacturing Milk Prices (including VAT)","200802","2008M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.397"
"AJM07","Manufacturing Milk Prices (including VAT)","200803","2008M03","1","Milk (per litre), actual fat and protein","Euro","0.387"
"AJM07","Manufacturing Milk Prices (including VAT)","200803","2008M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","200804","2008M04","1","Milk (per litre), actual fat and protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","200804","2008M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","200805","2008M05","1","Milk (per litre), actual fat and protein","Euro","0.332"
"AJM07","Manufacturing Milk Prices (including VAT)","200805","2008M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","200806","2008M06","1","Milk (per litre), actual fat and protein","Euro","0.32"
"AJM07","Manufacturing Milk Prices (including VAT)","200806","2008M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.322"
"AJM07","Manufacturing Milk Prices (including VAT)","200807","2008M07","1","Milk (per litre), actual fat and protein","Euro","0.326"
"AJM07","Manufacturing Milk Prices (including VAT)","200807","2008M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","200808","2008M08","1","Milk (per litre), actual fat and protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","200808","2008M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","200809","2008M09","1","Milk (per litre), actual fat and protein","Euro","0.324"
"AJM07","Manufacturing Milk Prices (including VAT)","200809","2008M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.308"
"AJM07","Manufacturing Milk Prices (including VAT)","200810","2008M10","1","Milk (per litre), actual fat and protein","Euro","0.336"
